Apr 16 15:12:05 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:42816, remote 66.155.40.249:http
Apr 16 15:12:08 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:60308, remote 192.0.80.241:http
Apr 16 15:12:08 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:56831, remote 66.155.40.250:http
Apr 16 15:12:08 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53366, remote 68.232.44.121:http
Apr 16 15:12:08 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:42810, remote 66.155.40.249:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:53377, remote 68.232.44.121:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:42823, remote 66.155.40.249:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:42821, remote 66.155.40.249:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:42820, remote 66.155.40.249:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:36570, remote 74.125.236.167:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:36571, remote 74.125.236.167:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:36573, remote 74.125.236.167:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:36572, remote 74.125.236.167:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:56848, remote 66.155.40.250:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:56849, remote 66.155.40.250:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:56847, remote 66.155.40.250:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:60324, remote 192.0.80.241:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:60323, remote 192.0.80.241:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:60325, remote 192.0.80.241:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:60326, remote 192.0.80.241:http
Apr 16 15:12:10 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:51488, remote 74.125.236.172:http
